iter	Passed	Remaining
295	93965	33014
296	94280	32696
297	94597	32378
298	94915	32061
299	95234	31744
300	95549	31426
301	95866	31108
302	96181	30790
303	96496	30472
304	96810	30154
305	97129	29837
306	97445	29519
307	97762	29201
308	98076	28883
309	98395	28566
310	98712	28248
311	99038	27933
312	99351	27615
313	99674	27299
314	99992	26981
315	100308	26664
316	100622	26346
317	100936	26027
318	101253	25710
319	101568	25392
320	101889	25075
321	102214	24760
322	102530	24442
323	102850	24125
324	103167	23807
325	103484	23490
326	103802	23172
327	104122	22856
328	104449	22540
329	104763	22222
330	105078	21904
331	105397	21587
332	105714	21269
333	106032	20952
334	106380	20640
335	106714	20326
336	107045	20011
337	107372	19695
338	107691	19378
339	108010	19060
340	108328	18742
341	108649	18425
342	108969	18108
343	109286	17790
344	109602	17472
345	109926	17156
346	110240	16837
347	110559	16520
348	110874	16202
349	111188	15884
350	111519	15568
351	111836	15250
352	112159	14933
353	112482	14616
354	112803	14299
355	113117	13980
356	113433	13662
357	113744	13344
358	114062	13026
359	114376	12708
360	114691	12390
361	115017	12073
362	115333	11755
363	115649	11437
364	115963	11119
365	116280	10802
366	116596	10484
367	116910	10166
368	117230	9848
369	117546	9530
370	117865	9213
371	118184	8895
372	118499	8577
373	118821	8260
374	119155	7943
375	119472	7625
376	119786	7307
377	120104	6990
378	120423	6672
379	120736	6354
380	121048	6036
381	121385	5719
382	121704	5402
383	122023	5084
384	122338	4766
385	122654	4448
386	122974	4130
387	123290	3813
388	123605	3495
389	123923	3177
390	124243	2859
391	124561	2542
392	124877	2224
393	125193	1906
394	125508	1588
395	125831	1271
396	126153	953
397	126468	635
398	126793	317
